the_geom,objectid,station_id,lat,lon,borough,name,cartodb_id,created_at,updated_at
0101000020E61000000B558704827E52C0CABECC6D735C4440,135,411,40.72228087,-73.97668709,Manhattan,411,135,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000BC013756A17F52C0BB5A5D929F5B4440,136,412,40.7158155,-73.99422366,Manhattan,412,136,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000C0E34FB2978052C0E7944AEB335A4440,137,415,40.7047177,-74.00926027,Manhattan,415,137,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000006FA3A221A78052C076461070405B4440,138,417,40.71291224,-74.01020234,Manhattan,417,138,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D7E3ABFD3B7F52C04EB628E69F624440,139,422,40.770513,-73.988038,Manhattan,422,139,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000000BDCC66D297F52C06587231507624440,140,423,40.76584941,-73.98690506,Manhattan,423,140,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000001B3A8295D88052C0172E7B5AD85B4440,141,426,40.71754834,-74.01322069,Manhattan,426,141,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D3E499C7E98052C0669CE3BFEB594440,142,427,40.70251526,-74.01427023,Manhattan,427,142,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DF1197A6387F52C0543BC2F3C15C4440,143,428,40.72467721,-73.98783413,Manhattan,428,143,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000001FD42488F67E52C09B15D46FF45C4440,144,432,40.72621788,-73.98379855,Manhattan,432,144,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000001E5812ADC17E52C02AF4F3BD615D4440,145,433,40.72955361,-73.98057249,Manhattan,433,145,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000FE8FA7033C8052C0784F2912205F4440,146,434,40.74317449,-74.00366443,Manhattan,434,146,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000002C59238A07F52C0202D2F0EF15E4440,147,435,40.74173969,-73.99415556,Manhattan,435,147,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000406061DB147F52C0AC2E4BFE275D4440,148,438,40.72779126,-73.98564945,Manhattan,438,148,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
